                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9405,                 1.6107,                 1.1934,                0.69467,                0.54469,                0.57718,                0.25803,                 2.1098,                 2.7517,                 1.3371,                0.10998,               0.043243,               0.043243
                      2,                 1.9129,                 1.2827,                 1.1865,                0.81901,                0.50765,                0.59901,                0.33715,                 1.7751,                 1.9052,                 1.1773,                0.11655,               0.083148,               0.083148
                      3,                 1.7768,                 1.1196,                 1.1357,                 0.6962,                0.59654,                0.61888,                0.31926,                 1.8939,                 1.5131,                 1.1906,                0.11969,                0.11962,                0.11962
                      4,                  1.681,                 1.0234,                 1.1035,                0.84083,                0.76642,                0.75986,                0.46481,                 1.5013,                 1.0703,                 1.0882,                0.11456,                0.11456,                0.11456
                      5,                 1.5501,                0.91773,                 1.0476,                0.89199,                0.82617,                0.89726,                0.56255,                 1.2938,                0.81018,                 1.0031,                0.10941,                0.10941,                0.10941
                      6,                 1.4867,                 0.8344,                 1.0226,                0.90848,                0.84318,                0.92114,                0.58518,                 1.3216,                0.75852,                0.99794,                0.10426,                0.10426,                0.10426
                      7,                 1.4077,                0.80055,                0.99976,                 0.9402,                0.88642,                 0.9244,                0.60781,                 1.1728,                0.70994,                0.95636,               0.099112,               0.099112,               0.099112
                      8,                 1.3709,                0.76024,                0.98759,                0.94536,                 0.9042,                 0.9554,                0.65514,                 1.1224,                0.64228,                0.94443,               0.093964,               0.093964,               0.093964
                      9,                 1.3137,                0.71666,                0.96878,                0.93209,                0.90617,                 0.9529,                0.64822,                 1.1326,                0.64604,                0.93776,               0.088816,               0.088816,               0.088816
                     10,                 1.2473,                0.67942,                0.95836,                0.96501,                0.92346,                0.96619,                0.68901,                 1.0403,                0.57131,                 0.9197,               0.083668,               0.083668,               0.083668
                     11,                   1.22,                0.65334,                0.94315,                0.95639,                 0.9097,                0.95326,                0.67853,                 1.0334,                0.56837,                 0.9063,                0.07852,                0.07852,                0.07852
                     12,                 1.1734,                0.63549,                0.93088,                 0.9701,                0.92936,                0.97222,                0.70772,                0.99902,                 0.5401,                0.91018,               0.073372,               0.073372,               0.073372
                     13,                 1.1385,                0.61043,                0.92635,                 0.9579,                0.93263,                0.96743,                0.70023,                0.96055,                0.51588,                0.89115,               0.068224,               0.068224,               0.068224
                     14,                 1.1045,                 0.5945,                0.92241,                0.97198,                0.94214,                0.97277,                0.72326,                0.91764,                0.49637,                  0.887,               0.063076,               0.063076,               0.063076
                     15,                  1.059,                0.56946,                0.90389,                0.97551,                0.94617,                0.97639,                0.74973,                0.87023,                0.46821,                0.87234,               0.057928,               0.057928,               0.057928
                     16,                 1.0128,                0.54963,                0.90975,                0.97084,                0.91556,                0.96551,                0.70735,                0.95158,                0.51143,                0.89579,                0.05278,                0.05278,                0.05278
                     17,                0.97209,                0.52481,                0.90506,                0.97782,                0.93601,                 0.9784,                0.74389,                0.87425,                0.46934,                0.87814,               0.047632,               0.047632,               0.047632
                     18,                0.93533,                0.49751,                0.88932,                 0.9822,                 0.9358,                0.98074,                0.76671,                0.81829,                 0.4422,                0.86312,               0.042484,               0.042484,               0.042484
                     19,                0.90933,                0.48072,                 0.8846,                0.98585,                0.94469,                0.98186,                0.76483,                0.81635,                0.43216,                0.86299,               0.037336,               0.037336,               0.037336
                     20,                 0.8575,                 0.4583,                0.87186,                0.98735,                0.96332,                0.98457,                0.76361,                0.79975,                0.41902,                0.85279,               0.032188,               0.032188,               0.032188
                     21,                0.84199,                0.44098,                0.87084,                0.98371,                0.96099,                0.98398,                0.78186,                0.77157,                0.40079,                0.84799,                0.02704,                0.02704,                0.02704
                     22,                 0.8004,                0.41653,                0.85836,                0.98263,                0.96593,                0.98585,                0.78743,                0.74065,                0.38561,                 0.8352,               0.021892,               0.021892,               0.021892
                     23,                0.76583,                0.39998,                 0.8512,                0.98395,                0.96872,                0.98816,                0.81343,                  0.697,                0.35796,                0.83123,               0.016744,               0.016744,               0.016744
                     24,                0.72763,                0.37511,                0.84397,                 0.9889,                0.96825,                0.98946,                0.81898,                0.68225,                0.34435,                0.82588,               0.011596,               0.011596,               0.011596
                     25,                0.68757,                0.35122,                0.83285,                0.98766,                0.96938,                0.98892,                0.82685,                0.65517,                  0.328,                0.81926,               0.006448,               0.006448,               0.006448
